Name,Rank,Num_Strains,Num_Strains_Butyrate_Producers,Disease_Relationship,Num_Species,Num_Species_Butyrate_Producers
NCBITaxon:32207,genus,10,0,associated_with_increased_likelihood_of_MONDO:0005101,17,0
NCBITaxon:328814,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:33024,genus,5,0,associated_with_decreased_likelihood_of_MONDO:0005101,6,0
NCBITaxon:33043,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:333367,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:341027,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:34450,family,3,0,associated_with_increased_likelihood_of_MONDO:0005101,2651,0
NCBITaxon:346096,genus,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,2,1
NCBITaxon:35832,genus,3,1,associated_with_decreased_likelihood_of_MONDO:0005101,2,0
NCBITaxon:35833,species,3,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:360807,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:36834,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:36835,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:38447,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,24,0
NCBITaxon:384636,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:384638,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:39483,species,2,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:39484,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:39486,species,4,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:39488,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:39491,species,4,2,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:39496,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:39777,species,6,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:39778,species,3,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:39948,genus,6,0,associated_with_decreased_likelihood_of_MONDO:0005101,7,0
NCBITaxon:39965,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,4,0
NCBITaxon:40518,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:40519,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:40544,genus,6,0,associated_with_increased_likelihood_of_MONDO:0005101,11,0
NCBITaxon:40545,species,5,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:41294,family,56,1,associated_with_increased_likelihood_of_MONDO:0005101,145,3
NCBITaxon:416916,genus,38,0,associated_with_increased_likelihood_of_MONDO:0005101,5,0
NCBITaxon:42322,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:42895,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:437755,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:442,species,6,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:44249,genus,83,1,associated_with_decreased_likelihood_of_MONDO:0005101,405,6
NCBITaxon:443882,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:446660,species,3,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:447020,genus,5,0,associated_with_decreased_likelihood_of_MONDO:0005101,12,1
NCBITaxon:44737,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:44748,genus,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:459786,genus,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,9,2
NCBITaxon:460384,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:468,family,1153,1,associated_with_increased_likelihood_of_MONDO:0005101,214,0
NCBITaxon:469,genus,1111,1,associated_with_increased_likelihood_of_MONDO:0005101,126,0
NCBITaxon:47678,species,4,1,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:4769,genus,3,0,associated_with_increased_likelihood_of_MONDO:0005101,38,0
NCBITaxon:47882,species,1,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:482,genus,337,0,associated_with_decreased_likelihood_of_MONDO:0005101,47,0
NCBITaxon:4932,species,315,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:501571,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:501783,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005101,4,0
NCBITaxon:5021,genus,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,56,0
NCBITaxon:5057,species,1,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:508458,phylum,15,12,associated_with_increased_likelihood_of_MONDO:0005101,34,6
NCBITaxon:508459,genus,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,2,1
NCBITaxon:51514,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:5207,species,446,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:52228,genus,3,1,associated_with_decreased_likelihood_of_MONDO:0005101,7,1
NCBITaxon:5277,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,14,0
NCBITaxon:538,genus,2,0,associated_with_increased_likelihood_of_MONDO:0005101,5,0
NCBITaxon:543,family,3269,2,associated_with_increased_likelihood_of_MONDO:0005101,194,10
NCBITaxon:543311,genus,4,0,associated_with_increased_likelihood_of_MONDO:0005101,2,0
NCBITaxon:5476,species,91,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:5478,species,11,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:5482,species,11,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:553372,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,0,0
NCBITaxon:561,genus,2946,2,associated_with_increased_likelihood_of_MONDO:0005101,10,4
NCBITaxon:56112,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:562,species,2936,2,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:577309,genus,3,0,associated_with_decreased_likelihood_of_MONDO:0005101,4,0
NCBITaxon:580024,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,0,0
NCBITaxon:580596,genus,2,1,associated_with_increased_likelihood_of_MONDO:0005101,7,3
NCBITaxon:581,genus,8,0,associated_with_increased_likelihood_of_MONDO:0005101,2,1
NCBITaxon:61170,genus,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,2,0
NCBITaxon:61171,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:623,species,97,0,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:625,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:62636,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005101,65,0
NCBITaxon:626929,species,2,1,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:626932,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:626937,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:644652,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,6,0
NCBITaxon:647,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:649756,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:68766,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:698776,genus,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,3,0
NCBITaxon:712,family,208,0,associated_with_decreased_likelihood_of_MONDO:0005101,138,1
NCBITaxon:713,genus,10,0,associated_with_increased_likelihood_of_MONDO:0005101,22,0
NCBITaxon:729,species,4,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:74426,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:745368,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:76773,species,1,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:76892,family,19,0,associated_with_increased_likelihood_of_MONDO:0005101,96,1
NCBITaxon:77095,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:80864,family,82,2,associated_with_increased_likelihood_of_MONDO:0005101,229,1
NCBITaxon:815,family,202,59,associated_with_decreased_likelihood_of_MONDO:0005101,118,45
NCBITaxon:818,species,5,2,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:820,species,8,3,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:823,species,8,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:824,species,1,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:827,species,4,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:83618,genus,8,0,associated_with_decreased_likelihood_of_MONDO:0005101,28,0
NCBITaxon:84024,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:84107,family,8,0,associated_with_decreased_likelihood_of_MONDO:0005101,24,3
NCBITaxon:84111,genus,5,0,associated_with_increased_likelihood_of_MONDO:0005101,5,0
NCBITaxon:846,genus,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,5,0
NCBITaxon:851,species,16,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:853,species,4,4,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:856,species,1,1,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:86085,genus,1,0,associated_with_increased_likelihood_of_MONDO:0005101,97,0
NCBITaxon:86331,genus,4,1,associated_with_decreased_likelihood_of_MONDO:0005101,6,4
NCBITaxon:871665,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:904,genus,4,2,associated_with_increased_likelihood_of_MONDO:0005101,6,1
NCBITaxon:906,genus,9,4,associated_with_decreased_likelihood_of_MONDO:0005101,18,6
NCBITaxon:92860,order,56,0,associated_with_decreased_likelihood_of_MONDO:0005101,3751,0
NCBITaxon:94008,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:990719,family,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,21,1
NCBITaxon:990721,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,6,1
