Name,Rank,Num_Strains,Num_Strains_Butyrate_Producers,Disease_Relationship,Num_Species,Num_Species_Butyrate_Producers
NCBITaxon:508460,species,1,1,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:511434,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:511435,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:526524,class,33,1,associated_with_increased_likelihood_of_MONDO:0005180,80,8
NCBITaxon:528,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,7,0
NCBITaxon:53442,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:536633,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:538,genus,2,0,associated_with_decreased_likelihood_of_MONDO:0005180,5,0
NCBITaxon:543,family,3269,2,associated_with_increased_likelihood_of_MONDO:0005180,194,10
NCBITaxon:544,genus,31,0,associated_with_increased_likelihood_of_MONDO:0005180,22,2
NCBITaxon:544580,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:5476,species,91,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:562,species,2936,2,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:570,genus,398,0,associated_with_increased_likelihood_of_MONDO:0005180,21,3
NCBITaxon:573,species,334,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:574697,genus,2,0,associated_with_increased_likelihood_of_MONDO:0005180,9,4
NCBITaxon:577309,genus,3,0,associated_with_increased_likelihood_of_MONDO:0005180,4,0
NCBITaxon:577310,genus,2,0,associated_with_increased_likelihood_of_MONDO:0005180,4,0
NCBITaxon:580596,genus,2,1,associated_with_increased_likelihood_of_MONDO:0005180,7,3
NCBITaxon:581,genus,8,0,associated_with_increased_likelihood_of_MONDO:0005180,2,1
NCBITaxon:590,genus,11,0,associated_with_increased_likelihood_of_MONDO:0005180,2,0
NCBITaxon:596767,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:59732,genus,16,0,associated_with_decreased_likelihood_of_MONDO:0005180,149,0
NCBITaxon:61170,genus,2,0,associated_with_increased_likelihood_of_MONDO:0005180,2,0
NCBITaxon:625,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:626932,species,1,1,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:626937,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:649756,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:671232,NCBITaxon#_species_group,22,0,associated_with_increased_likelihood_of_MONDO:0005180,10,2
NCBITaxon:674963,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:712124,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:724,genus,64,0,associated_with_decreased_likelihood_of_MONDO:0005180,17,0
NCBITaxon:74201,phylum,13,0,associated_with_increased_likelihood_of_MONDO:0005180,106,0
NCBITaxon:76831,genus,10,0,associated_with_increased_likelihood_of_MONDO:0005180,13,0
NCBITaxon:78257,subspecies,1,0,associated_with_increased_likelihood_of_MONDO:0005180,0,0
NCBITaxon:78258,species,3,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:78259,species,2,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:78344,subspecies,1,0,associated_with_increased_likelihood_of_MONDO:0005180,0,0
NCBITaxon:78448,species,4,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:817,species,90,12,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:81852,family,811,15,associated_with_increased_likelihood_of_MONDO:0005180,112,23
NCBITaxon:823,species,8,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:827,species,4,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:84030,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:841,genus,8,5,associated_with_decreased_likelihood_of_MONDO:0005180,12,6
NCBITaxon:84107,family,8,0,associated_with_increased_likelihood_of_MONDO:0005180,24,3
NCBITaxon:84567,genus,6,0,associated_with_decreased_likelihood_of_MONDO:0005180,120,0
NCBITaxon:85,genus,7,0,associated_with_decreased_likelihood_of_MONDO:0005180,14,0
NCBITaxon:853,species,4,4,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:88431,species,3,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:885,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:89153,species,2,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:9,species,17,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:904,genus,4,2,associated_with_increased_likelihood_of_MONDO:0005180,6,1
NCBITaxon:92793,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005180,11,0
NCBITaxon:936548,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:990719,family,1,0,associated_with_increased_likelihood_of_MONDO:0005180,21,1
NCBITaxon:990721,genus,1,0,associated_with_increased_likelihood_of_MONDO:0005180,6,1
