Value	Rank	Genus	Family	Phylum	Location	Impt_Family
NCBITaxon:57001	species	NCBITaxon:56999	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:573	species	NCBITaxon:570	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:577	species	NCBITaxon:160674	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:58051	species	NCBITaxon:58050	NCBITaxon:267891	NCBITaxon:1224	human	other
NCBITaxon:582	species	NCBITaxon:581	NCBITaxon:1903414	NCBITaxon:1224	human	other
NCBITaxon:616675	species	NCBITaxon:2745	NCBITaxon:28256	NCBITaxon:1224	human	other
NCBITaxon:623	species	NCBITaxon:620	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:627669	species	NCBITaxon:1822464	NCBITaxon:119060	NCBITaxon:1224	human	other
NCBITaxon:646534	species	NCBITaxon:246861	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:658057	species	NCBITaxon:1042323	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:663	species	NCBITaxon:662	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:666	species	NCBITaxon:662	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:67827	species	NCBITaxon:544	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:696762	species	NCBITaxon:1195766	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:72557	species	NCBITaxon:222	NCBITaxon:506	NCBITaxon:1224	human	other
NCBITaxon:74031	species	NCBITaxon:74030	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:74033	species	NCBITaxon:74032	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:745714	species	NCBITaxon:1314700	NCBITaxon:510685	NCBITaxon:1224	human	other
NCBITaxon:754436	species	NCBITaxon:657	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:78556	species	NCBITaxon:58050	NCBITaxon:267891	NCBITaxon:1224	human	other
NCBITaxon:81569	species	NCBITaxon:97050	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:87461	species	NCBITaxon:1073	NCBITaxon:41294	NCBITaxon:1224	human	other
NCBITaxon:89772	species	NCBITaxon:69278	NCBITaxon:69277	NCBITaxon:1224	human	other
