Value	Rank	Genus	Family	Phylum	Location	Impt_Family
NCBITaxon:411471	strain	NCBITaxon:292632	NCBITaxon:216572	NCBITaxon:1239	human	impt_fam
NCBITaxon:411483	species	NCBITaxon:216851	NCBITaxon:216572	NCBITaxon:1239	human	impt_fam
NCBITaxon:411485	strain	NCBITaxon:216851	NCBITaxon:216572	NCBITaxon:1239	human	impt_fam
NCBITaxon:411486	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:411489	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:411490	strain	NCBITaxon:207244	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:441771	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:441772	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:445971	strain	NCBITaxon:264995	NCBITaxon:186806	NCBITaxon:1239	human	impt_fam
NCBITaxon:445972	strain	NCBITaxon:244127	NCBITaxon:216572	NCBITaxon:1239	human	impt_fam
NCBITaxon:457396	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:457570	strain	NCBITaxon:375928	NCBITaxon:485255	NCBITaxon:1239	human	other
NCBITaxon:470146	strain	NCBITaxon:33042	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:485916	strain	NCBITaxon:2282742	NCBITaxon:186807	NCBITaxon:1239	human	other
NCBITaxon:488537	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:498213		NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:498214	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:498761	strain	NCBITaxon:2831443	NCBITaxon:31984	NCBITaxon:1239	human	other
NCBITaxon:499177	strain	NCBITaxon:186831	NCBITaxon:3118655	NCBITaxon:1239	human	other
NCBITaxon:508767	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:511680	strain	not found	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:515619	strain	NCBITaxon:1766253	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:515621	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:515622	strain	NCBITaxon:830	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:525254	strain	NCBITaxon:165779	NCBITaxon:1570339	NCBITaxon:1239	human	other
NCBITaxon:525255	strain	NCBITaxon:165779	NCBITaxon:1570339	NCBITaxon:1239	human	other
NCBITaxon:525259	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:525919	strain	NCBITaxon:165779	NCBITaxon:1570339	NCBITaxon:1239	human	other
NCBITaxon:536231	strain	NCBITaxon:841	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:536232	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:552398	species	not found	NCBITaxon:216572	NCBITaxon:1239	human	impt_fam
NCBITaxon:555088	strain	NCBITaxon:427925	NCBITaxon:3086088	NCBITaxon:1239	human	other
NCBITaxon:561177	strain	NCBITaxon:165779	NCBITaxon:1570339	NCBITaxon:1239	human	other
NCBITaxon:572479	strain	NCBITaxon:2330	NCBITaxon:972	NCBITaxon:1239	human	other
NCBITaxon:575609	strain	NCBITaxon:162289	NCBITaxon:1570339	NCBITaxon:1239	human	other
NCBITaxon:596330	strain	NCBITaxon:162289	NCBITaxon:1570339	NCBITaxon:1239	human	other
NCBITaxon:622312	strain	NCBITaxon:841	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:626523	strain	NCBITaxon:177971	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:632245	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:633697	strain	NCBITaxon:1730	NCBITaxon:186806	NCBITaxon:1239	human	impt_fam
NCBITaxon:643648	strain	NCBITaxon:129001	NCBITaxon:68298	NCBITaxon:1239	human	other
NCBITaxon:645462	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:645463	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:655811	strain	NCBITaxon:165779	NCBITaxon:1570339	NCBITaxon:1239	human	other
NCBITaxon:657315	strain	NCBITaxon:841	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:657322	strain	NCBITaxon:216851	NCBITaxon:216572	NCBITaxon:1239	human	impt_fam
NCBITaxon:658086	species	not found	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:697303	strain	NCBITaxon:1754	NCBITaxon:186814	NCBITaxon:1239	human	other
NCBITaxon:706434	strain	NCBITaxon:906	NCBITaxon:31977	NCBITaxon:1239	human	other
NCBITaxon:717962	strain	NCBITaxon:33042	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:718252	strain	NCBITaxon:216851	NCBITaxon:216572	NCBITaxon:1239	human	impt_fam
NCBITaxon:718255	strain	NCBITaxon:841	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:742740	strain	NCBITaxon:1506553	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:748224	strain	NCBITaxon:216851	NCBITaxon:216572	NCBITaxon:1239	human	impt_fam
NCBITaxon:862517	strain	NCBITaxon:162289	NCBITaxon:1570339	NCBITaxon:1239	human	other
NCBITaxon:879306	strain	NCBITaxon:165779	NCBITaxon:1570339	NCBITaxon:1239	human	other
NCBITaxon:887929	strain	NCBITaxon:113286	NCBITaxon:186806	NCBITaxon:1239	human	impt_fam
NCBITaxon:908338	strain	NCBITaxon:162289	NCBITaxon:1570339	NCBITaxon:1239	human	other
NCBITaxon:935198	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:381764	strain	NCBITaxon:2422	NCBITaxon:1643950	NCBITaxon:200918	other	other
NCBITaxon:391009	strain	NCBITaxon:2420	NCBITaxon:1643950	NCBITaxon:200918	other	other
NCBITaxon:403833	strain	NCBITaxon:28236	NCBITaxon:1643949	NCBITaxon:200918	other	other
NCBITaxon:416591	strain	NCBITaxon:1643951	NCBITaxon:188709	NCBITaxon:200918	other	other
NCBITaxon:484019	strain	NCBITaxon:2420	NCBITaxon:1643950	NCBITaxon:200918	other	other
NCBITaxon:521045	strain	NCBITaxon:651456	NCBITaxon:1643948	NCBITaxon:200918	other	other
NCBITaxon:660470	strain	NCBITaxon:1184396	NCBITaxon:1643948	NCBITaxon:200918	other	other
NCBITaxon:639282	strain	NCBITaxon:53572	NCBITaxon:191394	NCBITaxon:200930	other	other
NCBITaxon:269799	strain	NCBITaxon:28231	NCBITaxon:213422	NCBITaxon:200940	other	other
NCBITaxon:316067	strain	NCBITaxon:2910589	NCBITaxon:213422	NCBITaxon:200940	other	other
NCBITaxon:404380	strain	NCBITaxon:2883512	NCBITaxon:213422	NCBITaxon:200940	other	other
NCBITaxon:443143	species	NCBITaxon:28231	NCBITaxon:213422	NCBITaxon:200940	other	other
NCBITaxon:644282	strain	NCBITaxon:453229	NCBITaxon:453228	NCBITaxon:200940	other	other
NCBITaxon:479435	strain	NCBITaxon:182639	NCBITaxon:2726069	NCBITaxon:201174	human	other
NCBITaxon:526224	strain	NCBITaxon:29521	NCBITaxon:143786	NCBITaxon:203691	other	other
NCBITaxon:596324	strain	NCBITaxon:157	NCBITaxon:2845253	NCBITaxon:203691	other	other
NCBITaxon:759914	strain	NCBITaxon:29521	NCBITaxon:143786	NCBITaxon:203691	other	other
NCBITaxon:290397	strain	NCBITaxon:161492	NCBITaxon:1524215	NCBITaxon:2818505	other	other
NCBITaxon:378806	strain	NCBITaxon:40	NCBITaxon:39	NCBITaxon:2818505	other	other
NCBITaxon:404589	species	NCBITaxon:161492	NCBITaxon:1524215	NCBITaxon:2818505	other	other
NCBITaxon:447217	species	NCBITaxon:161492	NCBITaxon:1524215	NCBITaxon:2818505	other	other
NCBITaxon:455488	strain	NCBITaxon:161492	NCBITaxon:1524215	NCBITaxon:2818505	other	other
NCBITaxon:190304	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469605	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469618	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:525283	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:546275	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:572544	strain	NCBITaxon:167639	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:1033810	strain	NCBITaxon:471824	NCBITaxon:471823	NCBITaxon:544448	other	other
NCBITaxon:445970	strain	NCBITaxon:239759	NCBITaxon:171550	NCBITaxon:976	human	other
NCBITaxon:575590	strain	not found	not found	NCBITaxon:976	human	other
NCBITaxon:709991	strain	NCBITaxon:283168	NCBITaxon:1853231	NCBITaxon:976	human	other
NCBITaxon:88274	species	not found	not found	not found	other	other
