category	file_current	file_nersc	exists_current	exists_nersc	size_current	size_nersc	lines_current	lines_nersc	md5_current	md5_nersc	status
scripts	src/Vital_gold_standard.py	src/Vital_gold_standard.py	True	True	1584.0	1584.0	50.0	50.0	ed989db84433627a644ccd46f877ba2c	ed989db84433627a644ccd46f877ba2c	identical
scripts	src/Functional_Annotations.py	src/Functional_Annotations.py	True	True	2841.0	2828.0	94.0	94.0	808b4c65754e8ac4989cc988e871c92b	bad7e5f19f18ef852963d197fea2e307	differs
scripts	src/Functional_Annotations_EC.py	src/Functional_Annotations_EC.py	True	True	3567.0	3566.0	119.0	119.0	3144fbab40c82bb72e359ef29dd94013	587ea6af62d84a02b21688e7176d735a	differs
scripts	Makefile	Makefile	True	False	4393.0				0729f4f033db0577001eeffa4708ed06		added_in_current
disease_outputs	data/Intermediate_Files/outcome_to_NCBITaxon_cleaned_IBD.tsv	src/Intermediate_Files/outcome_to_NCBITaxon_cleaned_IBD.tsv	True	False	13897.0		179.0		0bd8d06180ba8f9e18868b8724fe7a67		added_in_current
disease_outputs	data/Intermediate_Files/outcome_to_NCBITaxon_cleaned_PD.tsv	src/Intermediate_Files/outcome_to_NCBITaxon_cleaned_PD.tsv	True	False	18237.0		234.0		62d36852e33d17a9e970569d1da4bba7		added_in_current
disease_outputs	data/Intermediate_Files/outcome_to_NCBITaxon_cleaned_ranks_butyrate_production_IBD.csv	src/Intermediate_Files/outcome_to_NCBITaxon_cleaned_ranks_butyrate_production_IBD.csv	True	False	16793.0		179.0		747fd938894d3bac7f0029ea4a42c7fc		added_in_current
disease_outputs	data/Intermediate_Files/outcome_to_NCBITaxon_cleaned_ranks_butyrate_production_PD.csv	src/Intermediate_Files/outcome_to_NCBITaxon_cleaned_ranks_butyrate_production_PD.csv	True	False	22026.0		234.0		d5214c9d1dcb1361e036562ff514cc3e		added_in_current
disease_outputs	data/Intermediate_Files/IBD_Classification_butyrate_producers_summary.csv	src/Intermediate_Files/IBD_Classification_butyrate_producers_summary.csv	True	False	208.0		2.0		fc00ac6d0c9a5b57ed4daebcf7a422af		added_in_current
disease_outputs	data/Intermediate_Files/PD_Classification_butyrate_producers_summary.csv	src/Intermediate_Files/PD_Classification_butyrate_producers_summary.csv	True	False	210.0		2.0		17837e82905984c2ebbd8ba1925b7102		added_in_current
disease_outputs	data/Intermediate_Files/classification_butyrate_produces_IBD_microbes_species.json	src/Intermediate_Files/classification_butyrate_produces_IBD_microbes_species.json	True	True	791705.0	791705.0	28044.0	28044.0	8215f1a069d4b89f97b49cf37ae510ca	8215f1a069d4b89f97b49cf37ae510ca	identical
